date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2021-06-24,152.25,153.4,151.5,152.4,61.0
2021-06-25,154.75,157.3,154.75,157.25,63.0
2021-06-28,158.5,163.2,157.7,162.25,39.0
2021-06-29,162.7,162.75,159.5,159.7,37.0
2021-06-30,158.4,159.0,158.05,159.35,36.0
2021-07-01,162.1,162.1,154.0,156.0,37.0
2021-07-02,154.65,154.65,153.75,152.55,7.0
2021-07-06,153.25,153.25,149.35,147.9,30.0
2021-07-07,,,,149.75,
2021-07-08,149.3,149.3,149.3,152.05,2.0
2021-07-09,149.6,150.8,149.6,151.3,3.0
2021-07-12,153.4,153.85,153.4,153.85,23.0
2021-07-13,152.2,152.2,152.1,152.1,5.0
2021-07-14,154.55,154.55,152.9,156.45,4.0
2021-07-15,155.9,157.75,155.9,156.9,35.0
2021-07-16,,,,161.2,
2021-07-19,159.5,159.5,155.6,155.25,5.0
2021-07-20,,,,165.65,2.0
2021-07-21,167.1,177.9,166.55,176.0,34757.0
2021-07-22,180.0,195.5,180.0,193.65,44986.0
2021-07-23,205.1,209.5,187.2,189.0,41105.0
2021-07-26,199.5,215.2,199.0,207.8,37319.0
2021-07-27,206.3,209.6,199.55,201.75,27477.0
2021-07-28,204.05,205.35,195.2,200.45,28234.0
2021-07-29,201.8,203.5,190.25,196.5,29964.0
2021-07-30,200.0,201.75,178.6,179.55,31471.0
2021-08-02,179.35,179.35,171.6,172.8,37342.0
2021-08-03,172.8,177.7,172.05,174.85,18664.0
2021-08-04,176.25,178.65,173.9,175.65,18865.0
2021-08-05,175.65,177.65,173.3,176.9,17207.0
2021-08-06,177.8,177.8,173.55,176.0,21241.0
2021-08-09,174.8,180.6,172.45,179.35,22411.0
2021-08-10,179.5,182.25,177.55,182.0,29061.0
2021-08-11,181.0,185.3,179.8,183.85,29470.0
2021-08-12,184.7,186.9,182.85,186.55,39088.0
2021-08-13,185.95,187.35,181.2,182.75,24800.0
2021-08-16,181.95,186.25,179.75,183.2,15358.0
2021-08-17,184.2,184.25,178.3,178.95,15802.0
2021-08-18,178.65,181.15,177.6,179.7,8908.0
2021-08-19,179.15,179.15,175.2,178.2,13006.0
2021-08-20,178.3,179.7,175.05,178.25,15450.0
2021-08-23,177.45,180.45,177.2,179.95,272.0
2021-08-24,180.2,184.25,180.2,183.3,41.0
2021-08-25,185.35,185.35,183.9,184.05,40.0
2021-08-26,184.0,184.9,184.0,185.65,14.0
2021-08-27,186.05,189.6,186.05,189.5,20.0
2021-08-30,190.55,196.5,190.55,197.4,26.0
2021-08-31,193.15,193.2,193.15,193.45,3.0
2021-09-01,195.3,195.3,195.3,193.2,3.0
2021-09-02,,,,191.9,
2021-09-03,190.7,190.85,190.7,190.55,3.0
2021-09-07,,,,191.5,2.0
2021-09-08,,,,187.75,2.0
2021-09-09,185.5,185.5,185.5,185.0,2.0
2021-09-10,,,,185.6,
2021-09-13,,,,184.35,
2021-09-14,,,,183.0,
2021-09-15,188.0,188.0,188.0,187.0,4.0
2021-09-16,185.55,185.6,185.55,187.8,4.0
2021-09-17,185.6,188.15,185.6,187.3,3.0
2021-09-20,,,,183.5,
2021-09-21,183.05,185.55,182.35,183.35,14465.0
2021-09-22,183.9,187.5,183.9,184.85,12317.0
2021-09-23,185.35,191.0,185.25,190.6,16986.0
2021-09-24,191.05,195.3,190.6,194.35,17232.0
2021-09-27,193.6,195.55,191.95,193.65,11580.0
2021-09-28,194.05,199.0,192.5,198.6,16727.0
2021-09-29,198.45,199.45,193.25,193.4,14720.0
2021-09-30,194.1,196.45,193.5,194.0,15777.0
2021-10-01,194.0,205.55,192.95,204.05,27895.0
2021-10-04,201.0,206.85,199.65,200.35,20398.0
2021-10-05,200.55,201.15,191.3,191.9,26153.0
2021-10-06,192.55,194.95,191.85,193.45,11587.0
2021-10-07,195.15,200.25,193.8,197.9,21436.0
2021-10-08,200.25,203.35,198.5,201.35,17289.0
2021-10-11,199.35,204.85,196.7,204.25,12909.0
2021-10-12,204.05,215.15,202.6,213.15,24689.0
2021-10-13,214.55,214.95,205.8,208.65,19175.0
2021-10-14,209.1,212.65,206.3,209.25,12288.0
2021-10-15,209.75,211.0,202.75,203.4,15698.0
2021-10-18,201.75,204.85,200.55,201.6,20228.0
2021-10-19,202.6,205.6,201.7,204.25,14850.0
2021-10-20,205.2,207.0,203.5,205.55,14926.0
2021-10-21,205.15,208.65,201.55,203.3,26494.0
2021-10-22,203.8,206.4,198.4,199.85,16734.0
2021-10-25,199.95,203.8,197.25,202.55,20159.0
2021-10-26,203.35,210.3,202.3,208.1,21060.0
2021-10-27,207.3,208.7,199.65,201.35,23299.0
2021-10-28,201.0,203.2,198.6,199.95,19290.0
2021-10-29,200.9,204.4,198.65,203.95,18594.0
2021-11-01,203.2,209.85,202.2,208.7,19674.0
2021-11-02,208.2,209.0,204.7,208.05,22683.0
2021-11-03,208.05,212.0,205.85,209.3,21821.0
2021-11-04,209.5,211.4,206.0,208.6,21756.0
2021-11-05,209.5,209.5,202.3,203.55,33987.0
2021-11-08,203.6,206.1,199.3,199.65,30475.0
2021-11-09,201.2,206.7,198.7,205.9,35050.0
2021-11-10,206.4,206.6,203.5,204.0,30418.0
2021-11-11,206.1,212.6,205.4,210.9,40191.0
2021-11-12,211.4,221.5,209.25,219.7,36014.0
2021-11-15,219.45,225.9,217.0,222.75,16876.0
2021-11-16,223.85,224.65,221.3,222.05,11044.0
2021-11-17,224.3,233.75,224.0,232.6,13236.0
2021-11-18,233.5,237.5,227.5,228.95,9359.0
2021-11-19,231.0,239.0,227.95,233.3,398.0
2021-11-22,231.4,234.1,228.85,231.35,47.0
2021-11-23,233.85,242.4,233.75,242.55,85.0
2021-11-24,240.8,247.55,240.0,246.3,63.0
2021-11-26,242.2,245.45,242.15,243.85,48.0
2021-11-29,241.2,246.65,231.5,233.85,35.0
2021-11-30,231.35,233.25,231.35,233.25,9.0
2021-12-01,234.0,234.45,233.45,234.2,7.0
2021-12-02,233.25,236.65,233.25,237.45,21.0
2021-12-03,,,,244.05,9.0
2021-12-06,244.5,250.35,244.5,250.2,26.0
2021-12-07,244.0,244.0,244.0,243.9,4.0
2021-12-08,246.75,246.75,246.75,244.75,4.0
2021-12-09,243.7,243.7,239.7,240.35,9.0
2021-12-10,235.0,235.0,235.0,232.7,6.0
2021-12-13,237.15,237.2,237.15,236.7,4.0
2021-12-14,238.1,238.1,238.1,237.15,1.0
2021-12-15,237.05,237.1,236.8,237.4,8.0
2021-12-16,,,,236.95,51.0
2021-12-17,236.0,237.95,236.0,235.9,379.0
2021-12-20,,,,224.4,
2021-12-21,225.55,229.4,224.0,228.25,14047.0
2021-12-22,229.7,235.2,228.1,233.55,12766.0
2021-12-23,234.75,235.35,229.05,231.2,10779.0
2021-12-27,229.55,229.85,226.55,227.05,7221.0
2021-12-28,227.9,228.4,225.0,225.6,7889.0
2021-12-29,225.6,229.9,225.35,228.9,8385.0
2021-12-30,229.1,229.65,226.2,228.85,8556.0
2021-12-31,228.5,228.8,224.1,226.1,11693.0
2022-01-03,226.15,226.95,220.55,223.3,13645.0
2022-01-04,224.75,235.75,223.75,231.75,21914.0
2022-01-05,232.05,233.75,230.05,231.75,12325.0
2022-01-06,230.6,232.0,227.55,231.7,13695.0
2022-01-07,232.0,240.5,231.35,238.45,25955.0
2022-01-10,238.4,239.0,232.55,234.9,21066.0
2022-01-11,235.75,238.15,233.55,237.05,17528.0
2022-01-12,238.25,244.9,238.0,240.85,22286.0
2022-01-13,241.3,242.65,236.35,237.0,19234.0
2022-01-14,236.65,240.2,234.7,239.65,16525.0
2022-01-18,239.0,241.65,237.75,239.6,16808.0
2022-01-19,238.4,245.0,238.35,244.45,17077.0
2022-01-20,245.0,245.0,241.0,243.65,14338.0
2022-01-21,241.3,242.2,236.0,237.9,21504.0
